first_slp1,second_slp1,result_slp1,first_iast,second_iast,result_iast,category,sandhi_name,sutra
As,p,AH p,ās,p,āḥ p,hal-sandhi (consonant),visarga,8.3.15 KaravasAnayor visarjanIyaH
As,P,AH P,ās,ph,āḥ ph,hal-sandhi (consonant),visarga,8.3.15 KaravasAnayor visarjanIyaH
As,b,A b,ās,b,ā b,hal-sandhi (consonant),visarga-lopa,8.3.19–22 lopaH SAkalyasya etc.
As,B,A B,ās,bh,ā bh,hal-sandhi (consonant),visarga-lopa,8.3.19–22 lopaH SAkalyasya etc.
As,m,A m,ās,m,ā m,hal-sandhi (consonant),visarga-lopa,8.3.19–22 lopaH SAkalyasya etc.
As,y,A y,ās,y,ā y,hal-sandhi (consonant),visarga-lopa,8.3.19–22 lopaH SAkalyasya etc.
As,r,A r,ās,r,ā r,hal-sandhi (consonant),repha-lopa (ro ri),8.3.14 ro ri
As,l,A l,ās,l,ā l,hal-sandhi (consonant),visarga-lopa,8.3.19–22 lopaH SAkalyasya etc.
As,v,A v,ās,v,ā v,hal-sandhi (consonant),visarga-lopa,8.3.19–22 lopaH SAkalyasya etc.
As,S,AH S,ās,ś,āḥ ś,hal-sandhi (consonant),visarga,8.3.15 KaravasAnayor visarjanIyaH
As,z,AH z,ās,ṣ,āḥ ṣ,hal-sandhi (consonant),visarga,8.3.15 KaravasAnayor visarjanIyaH
As,s,AH s,ās,s,āḥ s,hal-sandhi (consonant),visarga,8.3.15 KaravasAnayor visarjanIyaH
As,h,A h,ās,h,ā h,hal-sandhi (consonant),visarga-lopa,8.3.19–22 lopaH SAkalyasya etc.
ar,a,ar a,ar,a,ar a,hal+ac boundary,repha-prakfti (r retained),8.3.15 na (KaravasAna); r stays before voiced
